key,video_name,source_exists,result_exists,match,range_mode,start,mid,end,expected_start,expected_end,expected_range_size,missing_views,front_count,front_out_of_range,front_missing_in_range,left_count,left_out_of_range,left_missing_in_range,right_count,right_out_of_range,right_missing_in_range
17/夜多い,person_17_night_high_h265.mp4,True,True,True,start_end,174,4400,9906,174,9906,9732,,8953,0,779,9732,0,0,9730,0,2
17/夜少ない,person_17_night_low_h265.mp4,True,True,True,start_end,180,4344,9965,180,9965,9785,,9059,0,726,9774,0,11,9785,0,0
18/昼多い,person_18_day_high_h265.mp4,True,True,True,start_end,85,3789,8551,85,8551,8466,,8379,0,87,8465,0,1,8466,0,0
18/昼少ない,person_18_day_low_h265.mp4,True,True,True,start_end,179,4252,8724,179,8724,8545,,8503,0,42,8541,0,4,8545,0,0
18/夜多い,person_18_night_high_h265.mp4,True,True,True,start_end,718,3642,7032,718,7032,6314,,6213,0,101,6314,0,0,6314,0,0
18/夜少ない,person_18_night_low_h265.mp4,True,True,True,start_end,338,3746,8005,338,8005,7667,,7621,0,46,7667,0,0,7667,0,0
19/昼多い,person_19_day_high_h265.mp4,True,True,True,start_end,271,4499,9295,271,9295,9024,,8383,0,641,8918,0,106,9023,0,1
19/昼少ない,person_19_day_low_h265.mp4,True,True,True,start_end,182,3346,6210,182,6210,6028,,5981,0,47,6017,0,11,6028,0,0
19/夜多い,person_19_night_high_h265.mp4,True,True,True,start_end,149,4676,8139,149,8139,7990,,7649,0,341,7939,0,51,7990,0,0
19/夜少ない,person_19_night_low_h265.mp4,True,True,True,start_end,293,4432,8993,293,8993,8700,,8114,0,586,8636,0,64,8700,0,0
20/昼多い,person_20_day_high_h265.mp4,True,True,True,start_end,192,4060,9119,192,9119,8927,,8692,0,235,8927,0,0,8926,0,1
20/昼少ない,person_20_day_low_h265.mp4,True,True,True,start_end,282,4131,9331,282,9331,9049,,8571,0,478,9049,0,0,9048,0,1
20/夜多い,person_20_night_high_h265.mp4,True,True,True,start_end,278,4312,9530,278,9530,9252,,8707,0,545,9252,0,0,9252,0,0
20/夜少ない,person_20_night_low_h265.mp4,True,True,True,start_end,319,3319,8616,319,8616,8297,,8098,0,199,8297,0,0,8295,0,2
21/昼多い,person_21_day_high_h265.mp4,True,True,True,start_end,204,4414,10212,204,10212,10008,,9851,0,157,10002,0,6,10008,0,0
21/昼少ない,person_21_day_low_h265.mp4,True,True,True,start_end,403,3460,7435,403,7435,7032,,6837,0,195,7023,0,9,7032,0,0
21/夜多い,person_21_night_high_h265.mp4,True,True,True,start_end,355,5129,9894,355,9894,9539,,9413,0,126,9517,0,22,9539,0,0
21/夜少ない,person_21_night_low_h265.mp4,True,True,True,start_end,399,3491,8886,399,8886,8487,,8313,0,174,8474,0,13,8487,0,0
24/昼多い,person_24_day_high_h265.mp4,True,True,True,start_end,308,4152,7817,308,7817,7509,,6866,0,643,7506,0,3,7494,0,15
24/昼少ない,person_24_day_low_h265.mp4,True,True,True,start_end,439,3990,6696,439,6696,6257,,6182,0,75,6256,0,1,6257,0,0
24/夜多い,person_24_night_high_h265.mp4,True,True,True,start_end,951,4279,7934,951,7934,6983,,6908,0,75,6982,0,1,6975,0,8
24/夜少ない,person_24_night_low_h265.mp4,True,True,True,start_end,552,4158,7209,552,7209,6657,,6532,0,125,6653,0,4,6654,0,3
